symbol,name
sz399684,深成消费
sz399685,深成医药
sz399686,深成金融
sz399687,深成信息
sz399688,深成电信
sz399689,深成公用
sz399690,中小专利
sz399691,创业专利
sz399692,创业低波
sz399693,安防产业
sz399694,创业高贝
sz399695,深证节能
sz399696,深证创投
sz399697,中关村60
sz399698,优势成长
sz399699,金融科技
sz399701,深证F60
sz399702,深证F120
sz399703,深证F200
sz399704,深证上游
sz399705,深证中游
sz399706,深证下游
sz399707,CSSW证券
sz399802,500深市
sz399803,工业4.0
sz399804,中证体育
sz399805,互联金融
sz399806,环境治理
sz399807,高铁产业
sz399808,中证新能
sz399809,保险主题
sz399810,CSSW传媒
sz399811,CSSW电子
sz399812,养老产业
sz399813,中证国安
sz399814,大农业
sz399817,生态100
sz399901,小康指数
sz399903,中证100
sz399904,中证 200
sz399905,中证 500
sz399913,300 医药
sz399914,300 金融
sz399918,300 成长
sz399928,中证能源
sz399932,中证消费
sz399933,中证医药
sz399934,中证金融
sz399935,中证信息
sz399944,内地资源
sz399958,创业成长
sz399959,军工指数
sz399965,800地产
sz399966,800非银
sz399967,中证军工
sz399970,移动互联
sz399971,中证传媒
sz399972,300深市
sz399973,中证国防
sz399974,国企改革
sz399975,证券公司
sz399976,CS新能车
sz399982,500等权
sz399983,地产等权
sz399986,中证银行
sz399987,中证酒
sz399989,中证医疗
sz399990,煤炭等权
sz399991,一带一路
sz399992,CSWD并购
sz399993,CSWD生科
sz399994,信息安全
sz399995,基建工程
sz399996,智能家居
sz399997,中证白酒
sz399998,中证煤炭
sz980001,
sz980017,
sz980023,
sz980068,
