symbol,ipo_date,ipo_years,last_report,3yr_grow_rate,grow_rate,grow,share_grow,start_bvps,now_bvps,eps,roe,debt_ratio,cash_ratio,earn_ttm,assets,equity,shares,name
002175,2007-10-12,13.68,2020-06-30,0.0,0.0,0.662,6.24,1.772,0.188,-0.078,-0.197,0.784,0.058,-0.587,6.546,1.414,7.538,*ST东网
002176,2007-10-12,13.68,2021-03-31,0.0,0.116,5.917,12.67,2.103,0.982,0.17,0.037,0.662,0.016,2.906,49.506,16.75,17.063,江特电机
002177,2007-11-01,13.63,2020-09-30,0.005,0.175,12.71,8.62,1.519,2.24,0.119,0.108,0.044,0.05,0.905,17.836,17.051,7.612,御银股份
002178,2007-11-01,13.63,2020-12-31,0.0,0.064,2.704,7.1,2.698,1.028,-0.404,0.041,0.576,0.201,-2.876,17.254,7.319,7.122,延华智能
002179,2007-11-01,13.63,2021-03-31,0.229,0.26,42.976,8.34,2.0,10.305,2.401,0.137,0.439,0.2,26.436,202.251,113.441,11.009,中航光电
002180,2007-11-13,13.6,2020-09-30,0.231,0.255,35.785,4.53,1.215,9.602,0.596,0.017,0.717,0.087,6.341,360.954,102.101,10.633,纳思达
002181,2007-11-16,13.59,2020-12-31,0.029,0.053,2.286,2.08,3.339,3.67,0.27,0.023,0.134,0.037,3.137,49.223,42.606,11.611,粤 传 媒
002182,2007-11-13,13.6,2020-12-31,0.19,0.12,6.175,3.0,2.159,4.444,0.375,0.084,0.504,0.039,2.426,57.905,28.73,6.464,云海金属
002183,2007-11-13,13.6,2020-12-31,0.012,0.236,29.547,13.5,1.77,3.874,0.04,0.111,0.806,0.05,0.845,423.284,82.235,21.227,怡 亚 通
002184,2007-11-16,13.59,2020-12-31,0.002,0.099,4.513,2.0,2.337,5.273,0.662,0.041,0.462,0.124,1.585,23.473,12.623,2.394,海得控制
002185,2007-11-20,13.58,2020-12-31,0.132,0.239,31.059,8.92,1.219,4.243,0.299,0.096,0.398,0.14,8.202,193.091,116.257,27.4,华天科技
002186,2007-11-20,13.58,2020-12-31,0.0,0.098,4.484,2.0,1.833,4.11,-0.922,0.106,0.273,0.12,-2.843,17.431,12.678,3.085,全 聚 德
002187,2007-11-22,13.57,2020-12-31,0.024,0.13,7.066,1.8,2.089,8.2,0.198,0.117,0.337,0.388,0.677,42.327,28.08,3.424,广百股份
002188,2007-11-22,13.57,2020-06-30,0.0,0.0,0.007,1.95,2.698,0.01,0.017,-2.73,0.962,0.367,0.048,0.801,0.03,2.925,*ST巴士
